Replies_subject,relation,Replies_object
printer,slowly move,toolhead
nozzle,is,same distance above washer as RH side
Answer48,have,ticket open with Lulzbot about issue
Answer48,expect,kind fiddling
prints,look,great
experts,is in,Technical Support department
our users,share here,knowledge
our users,knowledge share here in,forum
User49,are,fast ninjas
wiper pad,has,On subject of wiper pads has changed
Answer51,printing with,octoprint 1.3.11 Hmm
Answer51,printing over,air
Answer51,would first recommend,updating to Cura 3.6.18
3.2.32 version,is,outdated
User51,will also notice on,our next release notes
User51,get here,latest
firmware,give,it
firmware,re-slice,model
User51,can print from,SD card
Answer51,did,upgrade per instructions
Answer51,will try,your suggestions
thermistor resistance,varies as,temperature changes
User52,are trying,solve
voltage,being,drawn by printer power supply
Answer52,have,AC power monitor
Answer52,could just use,control panel of printer
Answer52,set,various nozzle temperatures
temperatures,measure,wattage needed
X min,stop,see
X min,see,loose
LCD,should display,X -19.00 Y
Z min,stop,switch
nozzle,should,should centered over Z min
stop,switches with,M119
Might,be,also good
User53,can manually move,nozzle
User53,can manually move nozzle with,LCD
actual nozzle,has,sense of zero
something,interferes with,movement
User54,can try printing without,skirt
User54,can try,printing
User54,max out,bed
User54,changes,printer settings
Jul,Is,optical
strip,is,rotary
extruder,is,supposed
User55,settings,adjust
settings,adjust,need be
filament,is,loaded
green sensor,is for,Extruder one
filament guide tubes,are secure in,sensor
filament guide tubes,are,secure
slack,moving,tool head
slack,can,can developed
User55,can check tension out,detector
User55,can check,tension on runout/strip
two screws,using,included 2 mm hex driver
User55,can tighten,two screws
User55,cause,actual strip outs
User55,will create,drag
User55,have over tightened,it
extruder,how long needs to,output filament
extruder,registering,feedback
User55,can disable,filament runout feature
User55,can disable filament runout feature via,LCD
compression,can cause,inconsistency
User56,blew,fuse
clean your nozzle,is with,power
User56,'ll need as,replacement
post,fits,your scenario
post,has,little bit information about fuses
print,is with,old gcode file eliminate as culprit
Answer57,have started,print
stock TAZ 3,came with,Budaschnozzle Hot End
machine,used from,guy
Answer57,printed,new bracket on my ender 3
User58,turn,right
User58,rotate back,filament
filament,was,already fed
holder,spool on,Lulzbot
filament,was already fed into,print head
User58,lifted,it
facing,front of,TAZ
User58,lifted,spool
filament,is in,line
filament,is with,you
filament,raise,toolhead
printed parts,is with,heat inserts
User60,'re using,LCD
Answer60,get,initial nozzle height start point
My process,is,finalize
Answer60,print,set
first calibration print,is,pattern of concentric circles check
second,is,10x10x5mm square look
Answer60,like,squash
Answer60,get,more precise
Answer60,'ve used,Z-offset G-code setting
my,slicer,S3D
Z-offset G-code setting,is in,my slicer
Answer60,think,its M5
its M5,is with,pitch of .8 mm
Answer60,have,multi-colored thumbcap
User60,'re on,right track
right track,is with,jigs
Answer61,think,I like volcanoes
mine,is working in,fact
Good luck,is with,your project
User62,'ll need With,dual extrusion
object,broken into,two STLs
half,be,second
slicer,do manually,it
only problem,is with,type of print
filament,creating,ooze
best first object,would,Actually would dual extrusion calibration object
larger prints,with filament is,3mil PEI film
strength,can,can lifted
solution,is,PEI
One solution,is thicker PEI such as,1/16th of inch thick
solution,is,thicker
aluminum,build,plate
User63,control,environment
User63,get,consistent prints
Answer63,use,room dehumidifier
Answer63,hold humidity at,30 %
Answer63,hold,humidity
temp,printing,PC-MAX
bed,is heated to,100C
bed,is,heated
big difference,is in,print quality
Stratasys,owns,patent on it
User63,build,one yourself
User64,probably blow,micro fuse
printer,is on,else
printer,have,deal
heat,turn off,printer
printer,heat to,260C
Answer64,'ll hold on to,heater block
User64,use,open end wrench
User64,can use,socket
nozzle,be,six side
dual v3,uses,volcano type nozzle
Answer64,can tell,you
User64,'re,aware
filaments,have,abrasive additives
Answer64,seen,post on here
two extruders,should have,same esteps
captured nut,take,bit
Your idler arm,could,could either too loose
scenario,is in,my opinion
could ground,is in,hobbed bolt
yourself,print up,updated beefy idler assembly
User66,'re disassembling,one check
User67,unscrewing,very tiny allen head screws
User67,could probably separate heat break At,point
User67,use,flame
User67,melt off,plastic
User67,use,heat gun
Answer68,contacted,Lulzbot
User70,can use installation instructions as,guide here
User70,can find here,new thermistor for your tool head
User70,can use,installation instructions
your temperature setting,is in,gcode
your Z-axis,Depending on,filament
User72,Have tried,test print
User72,Have tried test print with,just extruder with non-support filament
system,requires,different control board
heat sink,causing,them
Answer76,had,it
Ok self,fixed,issue
same issue,is in,my Y axis
Have,had,mine
printer,are,beautiful
color LCD,touch,screen
color calibration test print,now working,my way
color calibration test print,is,impressive
Answer78,have so am so far,one successful print of one attempt
Answer78,opposed,waiting for reviews
Answer78,purchased,opposed
my previous experiences,is with,Lulzbot support
all,are,workhorses
Answer78,take,plunge
Smell,are,function
ABS,does have,some of both
Use,is in,well ventilated area
Use,is,good
good idea,is with,PLA
fancy,choice,your
printer,have,enclosure of sort
ABS,is,also sensitive
noise,is,louder
noise,produced by,3D printer
User79,say,TAZ 3
MakerBot,open,support ticket
MakerBot,charged,me
issue,is,due
Answer81,am,used
Answer81,writing up,RCA
bind,is in,future
Answer81,was just printing,solid ball
Answer81,had,ABS print
Z bar,went,all
Answer81,cleaning up,gob
Answer81,got,Then engrossed
David,with,answer
Answer81,get again to,exuberant with knob
Answer81,generally only put,dates
Answer82,'m going,different route
E1 Err Min Temp,is,thermistor error on left-hand side extruder
something,has,intermittent break
intermittent break,something along,wiring path
User83,have,access to multi-meter
tmc drivers,can detect,collision
Answer84,expect,feature
good success,is with,eSun epa
good success,cf.,Elmer 's Xtreme glue stick
Duet,made custom extensions,connect
Installed Duet,connect to,stock wiring
Answer85,make custom wiring to,duet
Answer85,hated,my job
Answer85,'m going to,re-rebuild
filament,go in,easier
Answer86,have had,just opposite action with Lulzbot Support
Answer86,was having,severe layer shift in Y axis
back time,is with,support fully diagnose
their support,did job in,my case
their support,did,great job
? Tue Mar 26 2019 10:10,am,toolhead
? Tue Mar 26 2019 10:10,causing,nozzle
Taz 6,corrected with,larger smooth rods
corners,live in,middle
corners,live with,extra squish
User87,can arrive at,ground
problem,Swapping toolhead for,Titan
Answer87,'ve already got aerostruder on,it
Answer87,'ve already got,aerostruder
TAZ6,Are rods,direct drop in
Answer88,have,TAZ 5
Answer88,made exactly,how many turns
Counter clockwise,raises,lid
Z,offset,counterclockwise
leveling screws,are,tight
Answer88,cut,3/8 inch piece of plywood
User88,use,metal ruler
pain,is in,tookus
everyone,had,different idea
consistent height,Placing,block
consistent height,lowering,X axis
Answer88,have tightened,aluminum
Answer88,is,First home when warm
paper,Also will burn at,Fahrenheit 351
That,said,Home All
your nozzle,forces bed,you can fix
User88,turning,Z
Answer88,put,mark
User88,use,digital caliper
your finger gauge,get,.18 mm between your bed
paper,is,where rough
User88,slip gauge under,nozzle
User88,'re,golden
Business card stock,varies so in,my belief
bed corner,is higher on,one side
bed corner,is,higher on one side than another
It spring tension,governed by,spring constant
Unlevel bed corners,catch on,threads
bed corner,gets caught on,inverted screw
bed corner,gets,caught
corner,will,will visually unlevel
User88,dink with,it
User88,will have,dink
Z,offset,nob then re-leveling
point,give,yourself
nozzle,is with,your paper
leveling screws,turning of are,even finger gauge
four corners,turning of,leveling screws
nozzle,is,raised
inverted stabilizing,screw on,bed corner
Answer88,used at_time,One other thing
Answer88,just have,little more flexibility
One turn,equals,x mm of height
User88,get within,.04
User88,are making,molds
computer,is with,latest version of Cura LulzBot Edition handy
firmware,does have,overtemp setting
support team,help,you
Answer93,doing,rewiring
Answer93,doing rewiring on,machine
Answer93,looked up,parts for bed cable itself
Anyone,know,amp rating for these
cable,ends,https://www.digikey.com/products/en?keywords=206429-1 https://www.digikey.com/products/en?keywords=A25053-ND Heated Bed pins
Digikey,carries,most of them
Printing multiples,would allow,more time cooling between layers
print,looks,better
Answer94,would recommend For,larger part
fan settings,are set to,ramp
fan settings,is in,Cura
fan settings,are,set
fan,be,once kicked in here
User94,alluded,will your bed
bed adhesion,is with,ABS
User94,reduce,bed temp
User94,test,issue
User94,reduce bed temp,test
Answer95,would give,try
Answer95,would give,it
Answer95,did have,edge layer issues with newer cura
Answer95,went to,older version
Answer96,can tell,you
Chances,are,extra wire
User96,powering with,24v of heater power
User96,need now,new thermistor
Answer97,put silicone socks on,mine
Answer97,fix,issue
wireless,have,issue inside metal control box
LulzBot,sells,MOARstruder hot end kit
actual components,are,Moarstruder components with V6 Volcano nozzle
E3D,is,manufacturer
wiping process,knock loose,sock
Answer100,emailed,support
Answer100,took,multi-meter
Answer100,everything,get to panel
Answer100,removed,it
Answer100,moved By,time
User100,are,correct
4 different suppliers,is in,email response
Answer100,blew,Fuse F3
Answer101,had issue with,my Extruder V3
dual extruder,bottom wedge of was,tighter fit than stock single extruder
fit,was,looser
Answer101,get,top screw
Answer101,loosening,4 screws
fit,is,too tight
User101,sand,cutout
final step,is in,process
nozzles,measure,gap for nozzles
gaps,will,will same
Answer101,discovered,getting
TAZ 4,used,Budaschnozzle hot end
User104,are talking about,x
x,take,measurement
Answer104,move,it
Do,same for,y
filament,goes through,notch
extruder,is heated,more fluid
User104,measure,distance
much,was,actually extruded
User104,enter,them
Stainless Steel heat break,is,pretty hard
heat,Otherwise will travel up into,cold end
heat,cause,filament
filament,expand,jams/clogs
sound,is coming from,bottom end of machine
cracks,is in,coupler
Their suggestion,re-align,stepper motor
Their suggestion,re-align stepper motor to,lead screw
Answer107,had purchased,it
Answer107,would,would stuck
Answer107,president of,company
Answer107,told,them
issues,',members
Answer107,keep,outdated mode
Answer107,have,do
one upgrade,is in,15 yrs
high quality stuff,is with,none of many issues posted on forum matter
issues,is with,build
User108,run filament through,sensor
User108,stick,it
Answer108,mean By,plug
printer,pauses,you run
User108,Would,Would willing
Answer108,take apart,head
I bad clogs,stop,cooling fan
cooling fan,use,heat creep
Answer108,use,nozzle cleaning filament
Answer108,already have,OctoPrint
Answer109,printed,one
Answer109,was,able
Answer109,get slack in,stock fan wiring
Answer109,get,slack
ABS,have,bit higher heat tolerance
Answer109,have,NF-A4x20 5V fan
Rambo Fuse Locations,would,would short
short,ensure,insulation
one,could,could have blown
F3 fuse,controls,logic
Answer111,checked,belts
Answer111,still have,bed vibration
Answer111,changed,linear bearings
Answer111,confirmed,belt tightness
Answer112,had,same problem
Answer112,had problem at_time,today
Answer112,have around,64 Gb card
Answer112,use,that
Answer112,saw,post
large one,is,80 Mb/s
User113,have,.50 nozzle
Answer113,print,calibration cube
Answer113,set,first layer
intention,squash,that
first layer height,be honored by,printer
first layer height,is,honored
Answer114,put,piece of 'em ery cloth
Answer114,put piece on,backside
Answer114,'ll give,two with emery cloth side
Answer114,always wipe tip after,print
Answer114,have,my wiper tool velcor to printer
Answer115,assume,just cranks
practice,running,their cooling fans
User115,can set,fan speed
User115,can set fan speed In,CuraLE
User115,can set fan speed to,150 %
User115,Can provide,screenshot
User115,are assuming On,printer LCD
units,are,percentage
Answer116,am,wrong
Answer116,run,spot cooler make
Answer116,am building,enclosure
ABS,are,different story
That,has,complex
complex question,is with,answer it depends
Materials,are ones,benefit most from enclosure
User117,can improve,adhesion
User117,increasing,strength of first layer bond
User117,will melt,your Rambo board
motors,get,way
User118,can use safely,standard e3dv6 nozzle
hexagon,accept,style
User118,fit into,block
your extruder warranty,snapping,heat break
care,is,so required
nozzles,check,nozzle height
User119,using,feeler business card
User119,Are heating up,nozzles
User119,remove,filament
Answer119,extrude,little hotter
little hotter,give,idler screws
Answer120,have,problem
Answer120,flashed,rambo board
Answer120,coming out like,crap
Answer120,would have,do
User120,arnt,anything
User120,having,print issues
Answer120,tired,printing
there may couple things,is in,regards to print quality here
It looks,is,bit
good first layer,based on,squish
bed,is,well leveled
Answer120,start,making
Answer120,making,sure
User120,did,modifications
User120,get,hang of it
User120,are going,want
adjustment,is,required
User120,need,adjust
your printer,disable,your stepper motors
User120,should feel,same slight tension on card on four spots
User120,make,small adjustments
You will want,will affect,other three
Fine adjustments,achieve,height
Fine adjustments,will,will made after bed calibration print
User120,might have,some
User120,newest version of,Cura
User120,can use,verify
User120,are,uncertain
E-Steps,are,correct
nozzle,is,clogged
your idler arm,is,too tight
sure,that,knurled part of hobbed bolt lines
there,also make,sure
User122,Have updated recently,your firmware
toolhead,print,Ninjaflex filament
toolhead,print Ninjaflex filament without,problem
'll area,is in,March
User124,'re,free
weekend,come,check
nothing,is blocking endstops at,left hand side of x-axis
nothing,is blocking,endstops
User125,should hear,click
User125,should hear click at,when end of travel range
auto level routine,is tapping,corner washers
corners,are,are tapped without deflection
toolhead,adjust with,leadscrew
nozzle,is,left
nozzle,right washers by,same distance
nozzle,is,thing
nozzle,is thing,matters
free flows,does,nothing
Answer128,found,couple posts
Answer128,am,embarrassed
Piercet,checking,Y-Axis belt
Answer128,was,able
Answer128,play,stairway
Answer128,play stairway on,my X
Answer128,play stairway to,heaven
Everything,is,tight now
Answer129,get,as quiet as Mini 2
Answer129,'d love,get
first,is,Einsry Retro electronics board
drivers,have,Stealthchop mode
second aspect,will,will move
belt,driven,Z axis
different drive train,provide,smooth movement
metal rod,raise,carriage
different drive train,requiring,metal rod
Z axis,is causing,most noise
Z axis,is causing noise by,your ears
cause,may,may dependent
variances,is in,filament diameter
object 45 degrees,check,lines appear
Answer130,'d recommend,calibration cube
Answer130,'d recommend calibration cube for,troubleshooting
Answer130,'ve attached,STL
Answer130,check,extrusoin tolerance
Answer130,check extrusoin tolerance for,dimensional accuracy
User130,print,pair
User131,Are using Cura as,slicing software
User131,Are using,Cura
Answer132,was having,problems
My aluminum,build,plate needs
glass plate EG print bed,needs,parallel
glass plate EG print bed,be,completely level
Lulzbot support people,telling,me
Answer132,found,helpful solution
Answer132,make,cabinets
Answer132,cut,6 width of thin plywood
bottom X-axis,is between,pain in rear
width,is,always constant
difference,is in,thickness of business card
quality,makes,difference in thickness
User132,will wear out,paper
first layer,is,yours
User132,using,business card notice
point,is,Now important
User132,are pushing bed down on,springs
is happening,is,tight
User132,want,nozzle firm
sensitivity,is in,our fingers
rubber,hits,road
Answer132,tend,bit extreme
targeting technique,is,principle
targeting technique,is principle of,statistics
Answer132,used For,my purposes
User132,can do with,minimum infill
6 minutes,therefore equals,0.05 mm
User132,being quarter of,clock
User132,being,quarter
User132,get,feel of it
middle print,will,From statistical point of view will almost exact average of thickness of each of 4 corners
Answer132,really hate,guesswork
Answer132,am,For many other things master maker
Answer133,understand,frustration
same plane,is with,Y.
you want,have,your X axis
your X axis,parallel with,plane of bed
toolhead,adjust with,leadscrew
nozzle,is,above left
nozzle,right washers by,same distance
nozzle,is,thing
nozzle,is thing,matters
User133,achieve,bubble level
glass,same way on,four corners
square,is in,way
printer,is out of,square
User134,'ll,'ll bit more confident in your selection
picture,include,pictures
User135,disconnected/reconnected,things
X axis,using,controller
Z-axis,makes,excessive noise
Answer137,am in,So same boat here
support,have,even more go
have,even more,go through
support,have gone through,sorts of troubleshooting steps
Answer137,would,would interested
Answer137,still have,my banding on all of my prints
Answer137,'m at,point
point,is with,support
Answer137,spend,90 dollars
Answer137,had,nozzle break
Answer137,had nozzle break with,one
Answer137,ended up,waiting
support,is in,chronological order
Answer137,am right here with,you
Answer137,am within,luckily still 30 day window
printer,was,beaten
printer,was beaten during,shipping
demo print,everything,I 've printed
demo print,was,perfect
Answer137,'ve printed,getting
z axis,checking,bearings
The attached,are,two prints after rebuild
layer lines,are,inconsistent
missteps,take,place
User137,want,picture of it
Could slop,is in,x axis
Answer137,like,printer
Answer137,have had,spools
User137,baking filament,see
User137,baking,filament
your 3Dbenchy,see,is improvement
Answer138,have,similar problem
auto-level,measures,corners correctly
X+Y,are,high
X+Y,are,low
my plate,has,a
two edges,are,sloped
mine,is off,off straight box ty argued with me
real youtube review,is on,its way
filament,is in,fact very easy
filament,sounds,complicated
User140,'ll need,felt tip marker
User140,tweak slightly,parameters
your using,is,correct
Answer141,did send,email
Answer141,did send email to,Lulzbot support
Answer141,'m,quite disappointed
glass plate,thermally expands as,result
Answer143,'m,old
User143,should get,lot more experience
more experience,using,machine
Answer144,would suggest,looking into linear advance
Answer144,would copy,startup
Answer144,would just copy startup in,mine
Answer144,had,rambo board
? Mon Feb 25,using,standard controls in software
printer,rotate,lead-screw
same cube,moved to,right side of bed
matters,is in,end
head,is mounted,move vertically
rod,gently rotate,it
User145,'ll see,side of X-axis carriage
head,is,mounted
auto-leveling feature,will probe,corner washers
corner washers,determine,difference
Answer145,squeeze glass to,base
Answer145,squeeze,glass
Answer145,can snug up,screw in corner
User145,use,care
User145,need,those
User145,stop,squeezing
User145,stripping,threads
Answer145,did,adjustment
sides,are,now perfectly level
guys,are,awesome
your firmware,decided,upgrade to 3.6.3
Preferences > Configure Cura,> Allow connections to,wrong machine 2
> Upgrade Firmware,update,firmware
command,keeps,issued
Kind,regards,Randy
number,should,should identical on sides
taz 6,is with,12 mm x rods
Answer150,asked about,it
taz,sit on,non level surface
issue,is,present
issue,is present on,5
User150,can add washers under,flex feet
User150,can add,washers
front,was,good
gauge,set table there on,way
apx11,rails,use
gauge,set there,table
User152,are assuring,horizontal bars
level,is in,respect to build plate
difference,is,slight
difference,is in,measurement
difference,is,slope
User152,'re seeing,left to right
Z motor,for,carriage assembly
Answer152,'ve gotten,terminology
parts,terminology of be,heights
Answer152,terminology of,parts
Answer152,returned for,warranty repair
Answer152,returned,it
User152,Have also checked,squareness of frame
background,is in,CAD design
Answer153,jumped in with,background
User153,do,it
Answer153,think,you are going
Lulzbot,is,good choice
User153,start with,standard benchmark objects
Answer153,strongly suggest,that
User153,using printer for,more random stuff
User153,keep,limitations
User153,limitations in,mind
User153,download,Cura Lulzbot Edition
User153,can maintain,firmware on printer
Answer153,like,interface better
User153,test,settings
User153,test settings for,changes of filament
Answer153,modeled,maybe poker chip
something,similar to,checker game piece
Answer153,just went through,myself
poker chip thing,was invaluable in,process
poker chip thing,was,invaluable
Answer153,printed,thing
Answer153,'ve ever done in,Taz
Answer153,was,very heartened
Answer153,worked out,problems with chips
Answer153,was,glad
my message,stay,positive
User154,Do mean,file name
My print file name,only says,bed _ corner
User154,found,Ninjaflex
User154,Can tell,me
other parts,is in,future
User155,build,your own longer harness
pins,are,common
crimpers,can,can found
Answer156,downloaded,files for small herringbone gears
User156,use,high-quality/high detail
ABS,reprint,them
Answer156,using,best settings
Answer156,make,sure
Answer156,noticed,comments
Answer156,looked at,g-code
Answer156,posted for,parts
something,different for,E
User157,'ve replaced,most of things
numbers,are,correct
your Rambo,harness,bad
User157,preloaded to,printer
User157,have,wrong Z axis value
User157,hear,sound
User157,source,itworks3d.com
you want,are,only two routes
board,is,simple
Y axis,move,10 mm
Y steps,is,set
controller chip,mosfet for,Y axis
half,are,engaged
harness,is,damaged
file,is,handed
file,is handed to,Rambo board
Answer157,'d take control box,me
Answer157,'d take,control box
control box,check,it
Answer158,will check for,loose wiring
User160,are printing,PLA
User160,are printing PLA at,low extrusion rates
heat creep,induced,jams
heatsink,is,hot
User162,can change,orientation
part,is,is printed
Most things,is in,3d printing
parts,come off with,very little struggle
Answer163,love too,NGEN
1 cube,measure,X stl file
My immediate work-around,create,1 cube
limit,bearing,housings
Answer164,did check,steps/mm
y,0,100.5
z,0,1600
scaling,be,different
Z axis scaling,may,may issue
Answer164,affect,Y
Answer164,am,still perplexed
User165,made,great work
Answer165,Thank,you
Answer165,Unfortuntely find,very difficult
Answer165,find,everything in same place
someone,sell,complete upgrades
Answer165,find,quite hard
Answer165,'m,WRONG
Answer166,getting closer,nozzle
Answer167,mostly use,V3 head
User167,can run,code
