QT_content,QT_subjects
TAZ 5 Stops in the middle of a project,TAZ 5
Need Guidance: Printing Calibration Cubes with Flat Corners,Printing Calibration Cubes
TAZ5 producing rough surface,TAZ5
Taz 4 Print issue,Taz 4
Anyone here sell their old taz for a taz6?,Anyone
How do I print details smaller than 1mm on the Taz 5?,User997
Has anyone modelled the TAZ hexagon hot end in 3d?,anyone
Has anyone modelled the TAZ hexagon hot end in 3d?,anyone
Where were would I get a lulzbot taz 3 budaschnozzle 1.3 nozzle?,User1012
Change in print bed after printing ABS,Change
Printing fine details with TAZ 5,Printing fine details
TAZ5 heatbed thermal view,TAZ5
Dual Extruder Knocking normal?,Dual Extruder
Extrusion Problem with Dual Extruder v2,Extrusion Problem
Heat set inserts...,Heat
Taz 5 printer is hanging mid print.,Taz 5 printer
Best top mounted TAZ 5 Spool bracket stl?,Best top
Problems with New TAZ 5 printer,Problems
Taz 5: Can fan be used on high temp prints?,fan
Random wait for user input,Random
Best printer parts store for TAZ 5?,Best printer parts
How do you know you have the current firmware on your TAZ5?,Answer1065
Need someone help lulzbot taz 4,someone
don't know what's going on. help would be appreciated,help
Flexystruder too tight for filament,Flexystruder
One week with a new TAZ 5,One week
Dual extruder V2 is available,Dual extruder V2
melted filament coming out top of heat block.,melted filament
Printing Multi-material parts with a single extruder,Printing Multi-material parts
dial gauge mount for taz 5,dial gauge
Taz5 Dual V2 issue - Could it be firmware ?,Taz5 Dual V2 issue
Issue with filament/Extruder,Issue
ED3 V6 cooling fan not working and have a mintemp error,ED3 V6 cooling fan
What should I actually expect from my TAZ 5 with minimal modifications,my TAZ 5
Removing set screws on motors,Removing
Removing set screws on motors,Removing
Issues printing taller objects.,Issues
nozzle got clogged,nozzle
Enclosure with electronics outside,Enclosure
TAZ5 - Z axis steppers move at different rates?,Z axis steppers
Cant get prints to correct size,Cant
Cant get prints to correct size,Cant
I am guessing breathing these fumes all day no good??,User1181
Things I have done to my Taz,User1183
Sh!tty build quality,Sh!tty
"Severe issues With PLA and PETG, + questions",Severe issues
New Taz 5 - Issues with taller prints - consistent height ribbing / waviness (SOLVED),Issues
ABS sticks to plate like insanity! Help.,ABS
ABS sticks to plate like insanity! Help.,ABS
Flexystruder v2 Print Settings,Flexystruder v2
Does the TAZ have any over heating safety measures?,TAZ
Do you still use ABS Juice with heated TAZ 5 bed?,Answer1218
Do you still use ABS Juice with heated TAZ 5 bed?,Answer1218
First print and the rocktapus ripped my bed :(,First print
Problems with STL files from Autodesk Inventor?,Problems
Did I just put a divot in my bed?,User1228
Did I just put a divot in my bed?,User1228
Nozzle temp dropping during print,Nozzle temp
Filament getting stuck.,Filament
Taz 5 Power Supply with a Dead Fan,Taz 5 Power Supply
Trouble with prints staying down.,Trouble
Printing from SD-Card crashed on USB connect,Printing
TAZ 4 Failed Prints,TAZ 4
New Taz 5 owner - how do I use my tool bag?,User1255
TAZ 5 Froze During Long Print Job,Long
Hot end Temperature dropping when heated bed is on,dropping
Original Taz with Dual Extruder Error,Original Taz
Slightly used TAZ 5 for sale in Northern Virgina,sale
Print failures / clog / hobbed bolt eating into filament,hobbed bolt
Dual extruder is garbage.,Dual extruder
Is anyone a bit frustrated buy this?,anyone
Is anyone a bit frustrated buy this?,anyone
x-axis going out of level,x-axis
Auto Bed Leveling,Auto
Different z heights with different extruders,Different z heights
Stepper Motors in Enclosure?,Stepper Motors
Has anyone done a flexy dualie hexagon?,anyone
TAZ5 Mimicking Printing,TAZ5
TAZ 4 clogging issues with PLA,TAZ 4 clogging issues
PEI Bed Sticks Too Much,PEI
TAZ5 - PEI separating from adhesive,PEI
Taz 5 Upgraded rods and bearings,Taz 5
Taz 5 Upgraded rods and bearings,Taz 5
"Taz 4 X End Plate, Dual Extruder, FlexyDually FOR SALE",Taz 4 X End Plate
Anyone see the 3d scanner post here?,Anyone
TAZ 5 Mechanical Assembly in FreeCAD,TAZ 5 Mechanical Assembly
Printing Taz3 to Taz5 upgrade parts with a LulzMini?,Printing Taz3
New TAZ 5 owner. What kind of advice can you give me?,Answer1357
Getting usable supports with TAZ4 Dual with Simplify3D,usable supports
Wire came out of the extruder,Wire
z AXIS moves are inconsistent,AXIS moves
Best Video Camera set up for OctoPrint & Raspberry Pi,Best Video Camera
Z-axis threaded pole misalignment causing motor jam,Z-axis
sproket come loose / sheared ?,sproket
New TAZ5 user needs help,New TAZ5 user
Noises coming from Extruder assembly,Noises
Taz damaged out the box - help me fix it,Taz
"Why does this happen? Thoughts, I'm out of them.",User1430
"Taz 5 Hotend problem, please help",Taz 5 Hotend problem
Holes in top layer,Holes
Hexagon Hot End Clogged with HIPS,Hexagon Hot End
"TAZ'clone' sporting a 2W laser cutter, the L?Z16",TAZ clone
Heat Resistors Keep Burning Out,Heat Resistors
"I got question, there is a lot of them!",User1476
I'm in a jam!!,User1478
Taz 5 low spot in bed from heater wires,Taz 5 low spot
Small cylindrical parts printing oval,Small cylindrical parts
Kauri Cables gunna be tight,Kauri Cables gunna
Prints failed stoping at the same height 4 Times 2 parts.,Prints
Z-Axis Stops Stepping,Z-Axis
TAZ 5 Left Side Fan Duct,TAZ 5
Replacment printed parts for the Taz 5,Replacment
Replacment printed parts for the Taz 5,Replacment
Fine tuning help needed since hex hotend,Fine tuning help
Hexagon Hotend requires much higher temperature for PLA?,Hexagon Hotend
Hexagon Hotend requires much higher temperature for PLA?,Hexagon Hotend
Zoinks!  Can you mix hex and budda on dual head?,Answer1528
Zoinks!  Can you mix hex and budda on dual head?,Answer1528
TAZ 5 with Mini upgrades?,TAZ 5
Hot end cools in the middle of a print,Hot end
New User seeking advice,New User
New hotend in Europe,New hotend
"Marlin files on SD, are tuned to my printer ?",Marlin
"Marlin files on SD, are tuned to my printer ?",Marlin
"Marlin files on SD, are tuned to my printer ?",Marlin
Odd pattern printing a flat box,Odd pattern
PLA prints are curling off the bed,PLA prints
Homing Kittaz sends the head into a bed mount,Homing Kittaz
Homing Kittaz sends the head into a bed mount,Homing Kittaz
"Single and Dual Extruder hotends, can i freely swap them?",Single Extruder hotends
Problem using Flashair SD Card,Problem
"Hot End temp lowered when print starts, stringing results",Hot End temp
Heated bed always registers 1c below set temp,Heated bed
Sudden issue with default TAZ3 profile,Sudden issue
Do you unplug your power supply?,Answer1590
J-Head mount for the TAZ,J-Head
New TAZ4 owner and have hard time getting prints,hard time
Y axis skips during very long print,Y axis
Chunky printing in perimeters and infill,Chunky printing
General Help with Taz 4,General
PLA leaking around nozzle heater,PLA
"Hybrid parts.. ABS and NinjaFlex,  anybody doing it?",anybody
will the real taz 4 build volume please stand up,real taz 4
x axis now running in reverse direction,x axis
Coating on bed that ships with TAZ 4,ships
Stepper moror is very hot!,Stepper moror
Fan Lowering Hot End Temp,Fan
Issues with Pronterface motor control,Issues
Budasnozzle clogged. How do I unclog it?,User1663
Taz 4 quivers printing round sequences,Taz 4 quivers
XY Steppers stopped during print. but returned to home,XY Steppers
Taz 4 LED mod/kit,Taz 4
hand made Cooler Fan issue TAZ3,hand
Custom Taz 3 with upgraded z-axis plus extras FOR SALE,Custom Taz 3
Green tape stuff pealing off bed glass,Green tape stuff
TAZ LCD start to blink when power on?,TAZ LCD
TAZ 2 Print Quality Finally Sorted (Hopefully),TAZ 2
Bed Calibration Print Question,Bed Calibration
"Broke my herringbone gears, and fried stepper motor?",my herringbone gears
Can I leave in my unheated Garage?,User1728
LCD Resetting Itself,LCD
Lulzbot Customer Support in need of an upgrade :-(,Lulzbot Customer Support
Bent threaded rod,Bent
Hobbed bolt chewing through ABS on TAZ 0.15 layer height,Hobbed bolt
Taz 2.0 manufacturered parts?,Taz 2.0
X-axis shifting with large prints,X-axis
TAZ with Laser and CNC Circuit Mill Spindle,TAZ
"Hope you kept your TAZ box...simple ""heated"" enclosure",Answer1790
Bed suddenly stopped heating,Bed
